# Baseline branch=dev/v2.10.0-m3-history-graphs commit=b3f9a82 pkg=2.10.0
# Server http://127.0.0.1:3005 DB /tmp/wwsc-m3-graphs-test/wwsc.db
# Started 2026-06-03T06:13:44.499Z
TC  |  STATUS  |  AREA  |  SCREENSHOT  |  VISIBLE_EVIDENCE
# /api/version={"version":"2.10.0","build":"2026-06-03T06:13:44.829Z"}
# memberA id=22 (4 PB-break rows)
# memberB id=4 (1 row, sparse)
# memberC id=1 (no rows, empty)
# memberE id=25 (null PB rows)
UIT-M3-001  |  PASS  |  History graphs  |  docs/screenshots/m3-user-interaction-v3.0.0/UIT-M3-001-graph-6-dates-ordered.png  |  svg=true, type=time-trend, dots=6, apiRows=6, dates=04 Apr/11 Apr/18 Apr/26 Apr/02 May/09 May
UIT-M3-002  |  PASS  |  History graphs  |  docs/screenshots/m3-user-interaction-v3.0.0/UIT-M3-002-stroke-filter-applied.png  |  After stroke filter=25m: dots=6
UIT-M3-003  |  PASS  |  History graphs  |  docs/screenshots/m3-user-interaction-v3.0.0/UIT-M3-003-axis-labels-readable.png  |  Y labels=15.00 / 15.13 / 15.25 / 15.38 / 15.50
UIT-M3-004  |  PASS  |  History graphs  |  docs/screenshots/m3-user-interaction-v3.0.0/UIT-M3-004-pb-progression.png  |  data-graph-type=pb-progression, dots=6
UIT-M3-005  |  PASS  |  History graphs  |  docs/screenshots/m3-user-interaction-v3.0.0/UIT-M3-005-empty-state-no-history.png  |  Empty-state copy + no console crash. realErrors=0
UIT-M3-006  |  PASS  |  History graphs  |  docs/screenshots/m3-user-interaction-v3.0.0/UIT-M3-006-sparse-one-row.png  |  Single datapoint visible. dots=1
UIT-M3-007  |  PASS  |  History graphs  |  docs/screenshots/m3-user-interaction-v3.0.0/UIT-M3-007-date-range-middle.png  |  Date range 2026-04-11..2026-05-02 → 4 points (full=6), dates=2026-04-11,2026-04-18,2026-04-26,2026-05-02, endpoints excluded=true
UIT-M3-008  |  PASS  |  History graphs  |  docs/screenshots/m3-user-interaction-v3.0.0/UIT-M3-008-date-range-cleared.png  |  After Clear range: from="" to="" dots=6 (full=6)
UIT-M3-009  |  PASS  |  History graphs  |  docs/screenshots/m3-user-interaction-v3.0.0/UIT-M3-009-search-narrowed.png  |  Search for Andrew Barnes returns 1 row(s)
UIT-M3-010  |  PASS  |  History graphs  |  docs/screenshots/m3-user-interaction-v3.0.0/UIT-M3-010-switched-swimmer.png  |  After switch, heading=Graphs — Ben Chandler, dots=1
UIT-M3-011  |  PASS  |  History graphs  |  docs/screenshots/m3-user-interaction-v3.0.0/UIT-M3-011-mobile-graph.png  |  Mobile 390x844 modal/svg rendered
UIT-M3-012  |  PASS  |  History graphs  |  docs/screenshots/m3-user-interaction-v3.0.0/UIT-M3-012-tablet-graph.png  |  Tablet 768x1024 graph rendered
UIT-M3-013  |  PASS  |  History graphs  |  docs/screenshots/m3-user-interaction-v3.0.0/UIT-M3-013-desktop-graph.png  |  Desktop 1440x900 graph rendered
UIT-M3-014  |  PASS  |  History graphs  |  docs/screenshots/m3-user-interaction-v3.0.0/UIT-M3-014-after-refresh.png  |  After reload app surface still mounts (documented behavior: modals do not persist)
UIT-M3-015  |  PASS  |  History graphs  |  docs/screenshots/m3-user-interaction-v3.0.0/UIT-M3-015-browser-back-forward.png  |  Real page.goBack()/goForward(): afterBack hasApp=true len=334, afterForward hasApp=true len=334, no new console errors=true
UIT-M3-016  |  NOT APPLICABLE  |  History graphs  |  docs/screenshots/m3-user-interaction-v3.0.0/UIT-M3-016-export-na.png  |  Export shipped in a later QA-10-resolved slice; this branch covers R-M3-05 only
UIT-M3-017  |  PASS  |  History graphs  |  docs/screenshots/m3-user-interaction-v3.0.0/UIT-M3-017-print-view.png  |  Print-emulated viewport renders SVG without cutoff
UIT-M3-018  |  PASS  |  History graphs  |  docs/screenshots/m3-user-interaction-v3.0.0/UIT-M3-018-null-pb-row.png  |  SVG contains no NaN / undefined / null tokens (defensive rendering for null PB rows)
UIT-M3-019  |  PASS  |  History graphs  |  docs/screenshots/m3-user-interaction-v3.0.0/UIT-M3-019-data-correctness.png  |  Exact point↔row mapping on (stroke,date,time,previous_best,is_break): rendered=6, api=6, exactMatch=true
UIT-M3-020  |  PASS  |  History graphs  |  docs/screenshots/m3-user-interaction-v3.0.0/UIT-M3-020-a11y.png  |  type focusable=true, stroke reachable=true, svg role=img, svg aria-label=Time-trend graph
# Finished 2026-06-03T06:14:14.650Z
# Tally: {"PASS":19,"NOT APPLICABLE":1,"FAIL":0,"BLOCKED":0,"PROVISIONAL":0}
# Console errors (favicon filtered): 0
